Section_Id,Book_Id,Chunk_Id,Chunk_Letters,Chunk_Words,Chunk_Approx_Tokens
Book12_a144,1,1,1,1,1
Book12_a146,1,1,1,1,1
Book12_a147,1,1,1,1,1
Book12_a155,1,1,1,1,1
Book12_a158,1,1,1,1,1
Book12_a160,1,1,1,1,1
Book12_a165,1,1,1,1,1
Book12_b004,1,1,1,1,1
Book12_b005,1,1,1,1,1
Book12_b025,1,1,1,1,1
Book12_b044,1,1,1,1,1
Book12_b045,1,1,1,1,1
Book12_b063,1,1,1,1,1
Book12_b085,1,1,1,1,1
Book12_b088,1,1,1,1,1
Book12_b094,1,1,1,1,1
Book12_b095,1,1,1,1,1
Book12_b098,1,1,1,1,1
Book12_b102,1,1,1,1,1
Book12_b113,1,1,1,1,1
Book12_b123,1,1,1,1,1
Book12_b125,1,1,1,1,1
Book12_b126,1,1,1,1,1
Book12_c003,1,1,1,1,1
Book12_c004,1,1,1,1,1
Book12_c007,1,1,1,1,1
Book12_c028,1,1,1,1,1
Book12_c038,1,1,1,1,1
Book12_c040,1,1,1,1,1
Book12_c042,1,1,1,1,1
Book12_c048,2,2,2,2,2
Book12_c062,1,1,1,1,1
Book13_a002,1,1,1,1,1
Book13_a004,1,1,1,1,1
Book13_a012,2,2,2,2,2
Book13_a013,1,1,1,1,1
Book13_a015,1,1,1,1,1
Book13_a016,1,1,1,1,1
Book13_a022,1,1,1,1,1
Book13_b013,1,1,1,1,1
Book13_b016,1,1,1,1,1
Book13_b022,1,1,1,1,1
Book13_b024,1,1,1,1,1
Book13_b028,1,1,1,1,1
Book13_b040,1,1,1,1,1
Book13_b041,1,1,1,1,1
Book13_b048,1,1,1,1,1
Book13_b056,1,1,1,1,1
Book13_b067,1,1,1,1,1
Book13_b071,1,1,1,1,1
Book13_b072,1,1,1,1,1
Book13_b075,1,1,1,1,1
Book13_b078,1,1,1,1,1
Book13_b091,1,1,1,1,1
Book13_b093,1,1,1,1,1
Book13_b098,1,1,1,1,1
Book13_b105,1,1,1,1,1
Book13_b115,2,2,2,2,2
Book13_b130,1,1,1,1,1
Book13_b132,1,1,1,1,1
Book14_016,1,1,1,1,1
Book14_031,1,1,1,1,1
Book14_033,1,1,1,1,1
Book14_040,1,1,1,1,1
Book14_041,1,1,1,1,1
Book14_051,1,1,1,1,1
Book14_052,1,1,1,1,1
Book14_092,1,1,1,1,1
Book15_012,1,1,1,1,1
Book15_021,1,1,1,1,1
Book18_002,1,1,1,1,1
